state,date,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,deaths_covid
PR,2020/07/10,262,59,183,59,20,59,5,59,3
AR,2020/07/15,657,53,390,52,9,53,6,52,1
AZ,2020/07/15,2488,44,2066,58,44,44,44,44,15
CA,2020/07/15,6115,283,4807,277,115,202,100,196,89
CO,2020/07/15,252,51,169,50,6,51,5,50,1
CT,2020/07/15,103,17,31,17,2,17,0,17,1
FL,2020/07/15,6020,122,4893,122,55,122,31,122,48
GA,2020/07/15,1984,62,1266,58,61,62,25,58,5
ID,2020/07/15,172,20,130,19,11,20,9,19,2
IL,2020/07/15,1217,105,634,96,26,105,9,96,3
IN,2020/07/15,425,52,183,47,1,52,0,47,14
MO,2020/07/15,867,87,477,84,18,87,6,84,5
MS,2020/07/15,529,45,430,41,39,45,39,41,9
MT,2020/07/15,27,10,20,9,26,10,13,9,3
NC,2020/07/15,901,70,677,64,6,70,2,64,9
NJ,2020/07/15,264,30,163,30,8,30,7,30,2
NV,2020/07/15,1073,62,826,62,62,58,15,58,14
NY,2020/07/15,1197,83,583,78,15,83,3,78,8
OK,2020/07/15,599,106,420,103,9,59,3,56,4
PA,2020/07/15,660,96,373,89,20,97,10,90,6
SC,2020/07/15,1351,56,1133,56,27,56,5,56,10
TX,2020/07/15,7250,230,6258,221,265,230,216,221,297
VA,2020/07/15,1129,62,434,62,8,62,1,62,2
WA,2020/07/15,403,52,290,49,4,52,1,49,1
WI,2020/07/15,567,117,282,114,11,84,6,81,31
AR,2020/07/16,776,66,419,63,24,66,16,63,2
AZ,2020/07/16,2584,54,2194,66,60,54,51,54,49
CA,2020/07/16,6230,288,4986,281,116,224,87,217,84
CO,2020/07/16,484,65,361,65,30,65,6,65,5
DC,2020/07/16,39,7,30,6,12,7,2,6,1
FL,2020/07/16,7889,204,6670,204,52,114,38,114,38
GA,2020/07/16,2117,71,1471,67,85,71,24,67,13
ID,2020/07/16,187,24,156,23,2,24,2,23,2
IL,2020/07/16,1236,117,618,109,38,117,17,109,6
IN,2020/07/16,562,59,415,56,49,59,45,56,13
KS,2020/07/16,263,64,169,63,3,64,3,63,1
KY,2020/07/16,456,94,5,8,21,8,21,8,8
MD,2020/07/16,675,40,364,40,6,40,2,40,1
MI,2020/07/16,251,78,113,75,6,78,3,75,1
MO,2020/07/16,862,100,505,95,26,100,7,95,3
MT,2020/07/16,42,18,29,17,24,18,14,17,3
NC,2020/07/16,1238,85,906,81,6,85,3,81,4
NH,2020/07/16,46,19,21,16,9,20,7,18,1
NJ,2020/07/16,500,39,275,39,11,39,10,39,3
NM,2020/07/16,394,21,332,18,2,21,1,18,3
NV,2020/07/16,1066,61,872,61,7,60,4,60,12
NY,2020/07/16,1222,99,600,91,43,99,35,91,4
OK,2020/07/16,605,118,453,116,11,64,5,62,2
PA,2020/07/16,683,108,390,103,18,109,11,103,13
SC,2020/07/16,1428,60,1204,59,10,60,8,59,18
TX,2020/07/16,8047,288,7095,273,230,288,182,273,117
VA,2020/07/16,876,66,520,66,4,66,1,66,1
WA,2020/07/16,404,66,320,63,13,66,1,63,3
WV,2020/07/16,113,39,60,36,101,39,100,36,4
AR,2020/07/17,661,68,395,63,17,68,9,63,8
AZ,2020/07/17,2714,52,2237,66,62,52,52,51,38
CA,2020/07/17,6337,303,5082,298,129,245,89,240,88
CO,2020/07/17,348,68,257,68,39,68,4,68,4
DC,2020/07/17,34,7,31,6,14,7,3,6,2
DE,2020/07/17,111,5,99,5,4,5,3,5,1
FL,2020/07/17,8189,217,7082,217,688,198,417,204,55
GA,2020/07/17,2229,76,1573,74,100,76,36,74,11
ID,2020/07/17,187,25,167,24,4,25,2,24,2
